(2021-08-14 15:39:33 周六)          Debug: File:(d:\smartmore\code\???????????\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(87) exec sql: "select * from GunManager.dbo.UserTable"
(2021-08-14 15:40:37 周六)          Debug: File:(d:\smartmore\code\???????????\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(87) exec sql: "update GunManager.dbo.UserTable set UserTable.密码 = '11',UserTable.识别操作 = 1,UserTable.识别监督 = 0,UserTable.入库操作 = 0,UserTable.入库监督 = 1,UserTable.出库操作 = 0,UserTable.出库监督 = 0 where 姓名= '11' and 军官证号 = '11'"
(2021-08-14 15:40:46 周六)          Debug: File:(d:\smartmore\code\???????????\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(87) exec sql: "select * from GunManager.dbo.UserTable"
(2021-08-14 15:40:55 周六)          Debug: File:(d:\smartmore\code\???????????\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(87) exec sql: "delete from GunManager.dbo.UserTable where 姓名 = '张飞' and 军官证号 = 'dd'"
(2021-08-14 15:45:16 周六)          Debug: File:(d:\smartmore\code\???????????\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(87) exec sql: "select * from GunManager.dbo.UserTable where 姓名 = '阿里巴巴' and 军官证号 = '123QQQ'"
(2021-08-14 15:45:20 周六)          Debug: File:(d:\smartmore\code\???????????\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(87) exec sql: "select * from GunManager.dbo.BoxPackedTable where 退役报废文件号 like '%%' and 调拨凭证号 like '%%' and 装箱单号 like '%%'"
(2021-08-14 15:46:38 周六)          Debug: File:(d:\smartmore\code\???????????\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(87) exec sql: "select * from GunManager.dbo.BoxPackedDetailsTable where 装箱单号 = '23232'"
(2021-08-14 15:47:01 周六)          Debug: File:(d:\smartmore\code\???????????\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(87) exec sql: "select * from GunManager.dbo.UserTable where 姓名 = '阿里巴巴' and 军官证号 = '123QQQ'"
(2021-08-14 15:48:42 周六)          Debug: File:(d:\smartmore\code\???????????\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(87) exec sql: "select * from GunManager.dbo.BoxPackedTable where 退役报废文件号 = '123456' and 调拨凭证号 = '654321' and 装箱单号 = '1111'"
(2021-08-14 15:48:42 周六)          Debug: File:(d:\smartmore\code\???????????\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(87) exec sql: "select * from GunManager.dbo.BoxPackedDetailsTable where 装箱单号 = '1111'"
(2021-08-14 15:48:42 周六)          Debug: File:(d:\smartmore\code\???????????\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(87) exec sql: "insert GunManager.dbo.BoxPackedTable values('123456','654321','1111','2222','手枪','兰州军区','北京军区','2020-1-2','2021-4-14',25)"
